stationId,latitude,longitude,products
KWIFITCH31,42.997,-89.439,pws
KWIFITCH21,42.99734,-89.43906,pws
KWIFITCH60,43.006,-89.454,pws
KWIFITCH48,42.993,-89.434,pws
KWIFITCH49,42.993,-89.434,pws
KWIMADIS175,42.99729,-89.41813,pws
KWIFITCH58,42.996,-89.409,pws
KWIFITCH61,42.99869,-89.41329,pws
KWIFITCH43,42.99487,-89.43512,pws
KWIMADIS311,43.003,-89.428,pws
KWIMADIS214,43.00067,-89.39863,pws
KWIFITCH62,43.009,-89.395,pws
KWIFITCH12,43.00489,-89.40374,pws
KWIMADIS330,43.005,-89.404,pws
KWIFITCH41,43.01,-89.399,pws
KWIFITCH45,43.008,-89.422,pws
KWIMCFAR8,43.01329,-89.30679,pws
KWIMCFAR20,43.02,-89.293,pws
KWIMCFAR22,43.007,-89.276,pws
KWIMCFAR25,43.011,-89.279,pws
KWIMCFAR9,42.9968,-89.26642,pws
KWIMCFAR24,43.02365,-89.28657,pws
KWIMCFAR23,43.02373,-89.28654,pws
KWISTOUG4,42.99038,-89.2287,pws
KWICOTTA14,43.02541,-89.22181,pws
KWIDEERF11,43.041,-89.084,pws
KWIDEERF9,43.04635,-89.08527,pws
KWICAMBR13,42.99771,-89.03034,pws
KWICAMBR23,42.996,-89.029,pws
KWICAMBR7,42.99735,-89.02763,pws
KWIDEERF3,43.05759,-89.12157,pws
KWIDEERF20,43.058,-89.121,pws
KWIMOUNT41,43.01804,-89.72708,pws
KWIMOUNT104,43.022,-89.703,pws
KWIMOUNT17,43.03203,-89.64575,pws
KWIVERON51,43.038,-89.585,pws
KWIVERON21,43.03349,-89.57724,pws
KWIVERON37,43.05039,-89.58942,pws
KWIVERON103,43.039,-89.568,pws
KWIVERON50,43.034,-89.56,pws
KWIVERON85,43.034,-89.56,pws
KWIVERON97,43.029,-89.554,pws
KWIVERON57,43.023,-89.543,pws
KWIMADIS410,43.028,-89.532,pws
KWIMADIS132,43.02747,-89.53056,pws
KWIMADIS294,43.017,-89.522,pws
KWIMADIS249,43.015,-89.508,pws
KWIMADIS350,43.017,-89.509,pws
KWIMADIS441,43.017,-89.509,pws
KWIMADIS316,43.02,-89.511,pws
KWIMADIS365,43.015,-89.513,pws
KWIMADIS398,43.015,-89.493,pws
KWIMADIS388,43.023,-89.51,pws
KWIMADIS114,43.01003,-89.51182,pws
KWIMADIS1,43.02314,-89.49769,pws
KWIMADIS312,43.017,-89.45,pws
KWIFITCH64,43.012,-89.45,pws
KWIFITCH68,43.01,-89.474,pws
KWIMADIS196,43.01971,-89.44771,pws
KWIMADIS222,43.02729,-89.45609,pws
KWIFITCH40,43.02382,-89.47846,pws
KWIFITCH6,43.02226,-89.47984,pws
KWIFITCH50,43.005,-89.429,pws
KWIMADIS223,43.00483,-89.42959,pws
KWIFITCH35,43.014,-89.442,pws
KWIFITCH8,43.00513,-89.43649,pws
KWIFITCH42,43.012,-89.442,pws
KWIMADIS409,43.033,-89.366,pws
KWIMADIS238,43.03692,-89.37807,pws
KWIMADIS371,43.03768,-89.37627,pws
KWIMADIS346,43.038,-89.376,pws
KWIMONON15,43.05,-89.334,pws
KWIMONON8,43.052,-89.329,pws
KWIMADIS416,43.037,-89.295,pws
KWIMCFAR19,43.03,-89.28,pws
KWIMCFAR10,43.03324,-89.28135,pws
KWICOTTA13,43.05716,-89.2442,pws
KWICOTTA37,43.079,-89.194,pws
KWIDEERF15,43.054,-89.084,pws
KWIDEERF7,43.0534,-89.08237,pws
